count						   count	   total
1    	   3504      3504
2    	    228       456
3    	    136       408
4    	     73       292
5    	     61       305
6    	     47       282
7    	     34       238
8    	     27       216
9    	     26       234
10   	     25       250
11   	     13       143
12   	     14       168
13   	     10       130
14   	      5        70
15   	      9       135
16   	      8       128
17   	      4        68
18   	      9       162
19   	      5        95
20   	      3        60
21   	      6       126
22   	      6       132
23   	      2        46
24   	      1        24
25   	      4       100
26   	      4       104
27   	      2        54
28   	      3        84
29   	      2        58
32   	      1        32
33   	      1        33
34   	      3       102
37   	      1        37
38   	      2        76
39   	      3       117
40   	      1        40
42   	      2        84
45   	      3       135
46   	      1        46
48   	      1        48
52   	      1        52
55   	      1        55
71   	      1        71
80   	      2       160
86   	      1        86
88   	      1        88
100  	      1       100
101  	      1       101
114  	      1       114
272  	      1       272
325  	      1       325
372  	      1       372
446  	      1       446
2136 	      1      2136
7307 	      1      7307
10490	      1     10490
12335	      1     12335
